t,u,v,r,num_contours,threshold
13389.677047729492,331,354,222.36,180,147.0
13423.291206359863,332,352,223.88,174,147.0
13456.276178359985,331,353,223.43,175,147.0
13489.249229431152,332,353,223.09,137,147.0
13522.796154022217,332,352,223.43,212,147.0
13557.361364364624,331,354,222.12,165,147.0
13586.184978485107,332,353,223.08,155,147.0
13620.92113494873,332,354,221.89,165,147.0
13653.887033462524,330,355,221.08,172,147.0
13687.49213218689,332,353,222.85,179,147.0
13721.238136291504,332,355,221.3,191,147.0
13755.144119262695,331,355,221.29,212,147.0
13785.590171813965,333,353,222.96,160,147.0
13818.778276443481,331,355,221.02,189,147.0
13852.69832611084,332,355,220.9,170,147.0
13885.954141616821,332,355,220.99,211,147.0
13919.092178344727,331,357,219.59,207,147.0
13952.118158340454,332,354,221.42,179,147.0
14017.154216766357,332,355,221.18,187,147.0
14050.032138824463,331,356,220.43,184,147.0
14082.556962966919,332,354,221.44,197,147.0
14115.718126296997,331,356,219.8,159,147.0
14149.481058120728,332,357,219.29,172,147.0
14183.382034301758,332,356,219.92,188,147.0
14214.53332901001,332,357,218.72,180,147.0
14247.817993164062,333,355,220.52,181,147.0
14278.640270233154,332,356,220.14,156,147.0
14312.462091445923,331,356,219.5,189,147.0
14344.592332839966,333,355,220.17,177,147.0
14378.608226776123,331,358,218.78,221,147.0
14411.318063735962,331,357,218.52,208,147.0
14444.297075271606,330,355,221.15,186,148.0
14477.561235427856,331,358,218.16,231,147.0
14510.379076004028,330,354,221.48,153,148.0
14544.090270996094,331,354,222.04,175,148.0
14578.585147857666,332,357,218.88,162,147.0
14610.203266143799,331,354,222.25,160,148.0
14643.225193023682,329,356,220.85,197,148.0
14677.972078323364,330,356,220.98,198,148.0
14711.13395690918,331,355,220.88,205,148.0
14743.207216262817,332,358,218.34,208,147.0
14779.021263122559,330,355,221.56,197,148.0
14807.464122772217,331,354,222.42,223,148.0
14842.16022491455,331,357,218.66,196,147.0
14875.428199768066,330,354,221.75,185,148.0
14908.239126205444,331,355,221.14,185,148.0
14941.856145858765,332,358,218.28,164,147.0
14975.37899017334,331,355,221.19,195,148.0
15007.152318954468,330,355,220.99,214,148.0
15040.1611328125,332,357,219.04,185,147.0
15072.43013381958,331,354,221.72,168,148.0
15106.542110443115,332,357,219.13,204,147.0
15139.830112457275,330,355,221.65,163,148.0
15173.937320709229,333,357,218.46,232,147.0
15204.515218734741,331,358,218.68,170,147.0
15237.691164016724,331,355,220.87,183,148.0
15271.555185317993,332,357,218.39,196,147.0
15304.784297943115,333,356,219.07,181,147.0
15338.157176971436,331,354,222.01,166,148.0
15372.26128578186,331,357,219.31,187,147.0
15403.46908569336,332,357,218.89,191,147.0
15435.824155807495,333,357,218.61,194,147.0
15469.369173049927,331,358,217.78,157,147.0
15501.268148422241,333,357,218.65,174,147.0
15534.142017364502,333,358,218.28,199,147.0
15567.012310028076,332,357,218.68,168,147.0
15600.141048431396,333,356,219.32,200,147.0
15633.520126342773,332,357,218.75,186,147.0
